	transactions	input_value	output_value	fee	day	month	year
4049	788934	381174170341211.000000000	381174170341211.000000000	582354314395.000000000	21	10	2020
4050	805736	403827666811658.000000000	403827666811658.000000000	728457615791.000000000	22	10	2020
4051	780841	274044170589243.000000000	274044170589243.000000000	585953678729.000000000	23	10	2020
4052	996969	185934614123995.000000000	185934614123995.000000000	520340401556.000000000	24	10	2020
4053	747848	163817676221236.000000000	163817676221236.000000000	303219237718.000000000	25	10	2020
4054	685429	283414355211625.000000000	283414355211625.000000000	424147422821.000000000	26	10	2020
4055	566987	250306782898380.000000000	250306782898380.000000000	850201920352.000000000	27	10	2020
4056	571477	266144138119076.000000000	266144138119076.000000000	634808938547.000000000	28	10	2020
4057	630863	243656012789907.000000000	243656012789907.000000000	877061664902.000000000	29	10	2020
4058	659159	235003071566806.000000000	235003071566806.000000000	1027142964356.000000000	30	10	2020
4059	673407	169173129770489.000000000	169173129770489.000000000	1062116865801.000000000	31	10	2020
4060	752456	213480227314722.000000000	213480227314722.000000000	675513665729.000000000	1	11	2020
4061	577699	256576991879347.000000000	256576991879347.000000000	739867481866.000000000	2	11	2020
4062	838794	320931303817949.000000000	320931303817949.000000000	1429477787400.000000000	3	11	2020
4063	1044659	204340777796354.000000000	204340777796354.000000000	832412152461.000000000	4	11	2020
4064	900753	312494662128544.000000000	312494662128544.000000000	1584380336821.000000000	5	11	2020
4065	926738	308847760601954.000000000	308847760601954.000000000	819145719502.000000000	6	11	2020
4066	969500	161156031962932.000000000	161156031962932.000000000	543994238339.000000000	7	11	2020
4067	902010	149836903289013.000000000	149836903289013.000000000	421287660136.000000000	8	11	2020
4068	1233941	214275297363189.000000000	214275297363189.000000000	763006650881.000000000	9	11	2020
4069	854828	215934685229379.000000000	215934685229379.000000000	839612094495.000000000	10	11	2020
4070	888517	206262691851670.000000000	206262691851670.000000000	371370768071.000000000	11	11	2020
4071	947509	196028944822581.000000000	196028944822581.000000000	505034788491.000000000	12	11	2020
4072	822449	157783672208601.000000000	157783672208601.000000000	439104531839.000000000	13	11	2020
4073	833376	190173144230377.000000000	190173144230377.000000000	227102877776.000000000	14	11	2020
4074	856807	159800818491318.000000000	159800818491318.000000000	206902809027.000000000	15	11	2020
4075	919942	361730361786069.000000000	361730361786069.000000000	466806941156.000000000	16	11	2020
4076	952316	302983026945984.000000000	302983026945984.000000000	370340018984.000000000	17	11	2020
4077	1015256	292910322122925.000000000	292910322122925.000000000	686468858041.000000000	18	11	2020
4078	854196	237760350128673.000000000	237760350128673.000000000	615698542483.000000000	19	11	2020
4079	1031001	245895591336174.000000000	245895591336174.000000000	396178897352.000000000	20	11	2020
4080	916842	190610425084210.000000000	190610425084210.000000000	212553246986.000000000	21	11	2020
4081	746266	190721505988066.000000000	190721505988066.000000000	125919499628.000000000	22	11	2020
4082	836066	224572927850926.000000000	224572927850926.000000000	303536222918.000000000	23	11	2020
4083	802772	234572830857818.000000000	234572830857818.000000000	276237877856.000000000	24	11	2020
4084	875103	221185599586325.000000000	221185599586325.000000000	411561593078.000000000	25	11	2020
4085	930218	228329453929534.000000000	228329453929534.000000000	570250593446.000000000	26	11	2020
4086	956335	185679493659584.000000000	185679493659584.000000000	512869394030.000000000	27	11	2020
4087	955855	129677609879113.000000000	129677609879113.000000000	382770883867.000000000	28	11	2020
4088	769819	127505995803273.000000000	127505995803273.000000000	157243786931.000000000	29	11	2020
4089	696986	225354347376311.000000000	225354347376311.000000000	333722822289.000000000	30	11	2020
4090	905405	209886442873629.000000000	209886442873629.000000000	612376186534.000000000	1	12	2020
4091	758688	167528655722304.000000000	167528655722304.000000000	487880882844.000000000	2	12	2020
4092	988638	152165256973262.000000000	152165256973262.000000000	1070290779753.000000000	3	12	2020
4093	896509	190365252806197.000000000	190365252806197.000000000	589822585401.000000000	4	12	2020
4094	934992	152423022693174.000000000	152423022693174.000000000	383967051139.000000000	5	12	2020
4095	879239	133149213740929.000000000	133149213740929.000000000	220078737741.000000000	6	12	2020
4096	843547	155324140479233.000000000	155324140479233.000000000	315219644457.000000000	7	12	2020
4097	856549	161812096182139.000000000	161812096182139.000000000	300217232494.000000000	8	12	2020
4098	829649	196631821005315.000000000	196631821005315.000000000	382423641357.000000000	9	12	2020
4099	778738	196511529908411.000000000	196511529908411.000000000	306398088387.000000000	10	12	2020
4100	862698	142091851792184.000000000	142091851792184.000000000	357187703501.000000000	11	12	2020
4101	804507	141913529020335.000000000	141913529020335.000000000	298988750360.000000000	12	12	2020
4102	890221	165714108653838.000000000	165714108653838.000000000	166967634826.000000000	13	12	2020
4103	788573	207512423156883.000000000	207512423156883.000000000	272377532618.000000000	14	12	2020
4104	840308	215944023957714.000000000	215944023957714.000000000	341978682339.000000000	15	12	2020
4105	873610	270870384890320.000000000	270870384890320.000000000	396645616475.000000000	16	12	2020
4106	772889	250230558156245.000000000	250230558156245.000000000	813458438879.000000000	17	12	2020
4107	924253	243495022522930.000000000	243495022522930.000000000	896098671585.000000000	18	12	2020
4108	971808	166413854936985.000000000	166413854936985.000000000	633142809082.000000000	19	12	2020
4109	978675	132209616951821.000000000	132209616951821.000000000	502217021719.000000000	20	12	2020
4110	872946	174272776419702.000000000	174272776419702.000000000	1012115383007.000000000	21	12	2020
4111	881579	203990133399801.000000000	203990133399801.000000000	708511586106.000000000	22	12	2020
4112	910566	200504195648194.000000000	200504195648194.000000000	1129151488888.000000000	23	12	2020
4113	767276	211437495911264.000000000	211437495911264.000000000	925862475585.000000000	24	12	2020
4114	901673	204257479027264.000000000	204257479027264.000000000	486780738338.000000000	25	12	2020
4115	863067	201268102212170.000000000	201268102212170.000000000	338191153975.000000000	26	12	2020
4116	928647	251368969764890.000000000	251368969764890.000000000	452842189912.000000000	27	12	2020
4117	1004976	197985200746056.000000000	197985200746056.000000000	710491048813.000000000	28	12	2020
4118	928787	184499688181153.000000000	184499688181153.000000000	841331290001.000000000	29	12	2020
4119	1036275	174242584672406.000000000	174242584672406.000000000	854071602071.000000000	30	12	2020
4120	1013154	194439951195330.000000000	194439951195330.000000000	581491060922.000000000	31	12	2020
4121	972590	160246496371168.000000000	160246496371168.000000000	249707624881.000000000	1	1	2021
4122	990961	216350954574265.000000000	216350954574265.000000000	403007813607.000000000	2	1	2021
4123	975697	221081778237546.000000000	221081778237546.000000000	472372742798.000000000	3	1	2021
4124	1082845	192144027090160.000000000	192144027090160.000000000	596598182764.000000000	4	1	2021
4125	952590	220893295601574.000000000	220893295601574.000000000	714094339681.000000000	5	1	2021
4126	1089495	213033648954931.000000000	213033648954931.000000000	820720053387.000000000	6	1	2021
4127	989446	275011219806137.000000000	275011219806137.000000000	578506314960.000000000	7	1	2021
4128	880533	251798029697038.000000000	251798029697038.000000000	713414325421.000000000	8	1	2021
4129	817954	192325980928476.000000000	192325980928476.000000000	627374297469.000000000	9	1	2021
4130	1004562	180156753437790.000000000	180156753437790.000000000	550340410967.000000000	10	1	2021
4131	939796	243770543651274.000000000	243770543651274.000000000	676293458969.000000000	11	1	2021
4132	913237	220980426328283.000000000	220980426328283.000000000	956273281563.000000000	12	1	2021
4133	934129	178091854244904.000000000	178091854244904.000000000	874498202922.000000000	13	1	2021
4134	890986	193404180750384.000000000	193404180750384.000000000	689361801906.000000000	14	1	2021
4135	956521	173481071627040.000000000	173481071627040.000000000	917614386760.000000000	15	1	2021
4136	912454	169811818435699.000000000	169811818435699.000000000	483527296727.000000000	16	1	2021
4137	844515	142522821408807.000000000	142522821408807.000000000	408156679371.000000000	17	1	2021
4138	901096	178799832642521.000000000	178799832642521.000000000	483590898804.000000000	18	1	2021
4139	906803	211082208316964.000000000	211082208316964.000000000	641473992904.000000000	19	1	2021
4140	839392	202032691318630.000000000	202032691318630.000000000	594986861893.000000000	20	1	2021
4141	786247	220920805151969.000000000	220920805151969.000000000	868036724852.000000000	21	1	2021
4142	844998	200024306692301.000000000	200024306692301.000000000	615794664859.000000000	22	1	2021
4143	975754	163530543401809.000000000	163530543401809.000000000	505531909544.000000000	23	1	2021
4144	890286	151483060078705.000000000	151483060078705.000000000	346868635892.000000000	24	1	2021
4145	887807	231267777216151.000000000	231267777216151.000000000	548980870749.000000000	25	1	2021
